QTD_TEORICA,QTD_TEORICA_TOTAL,QTD_REDUTOR,VAL_PARTICIPACAO_ACUMULADA_SETOR,VAL_PARTICIPACAO_SETOR
1243177587.0,98454079581.0,16161527.11645338,2.979,2.979
734631801.0,98454079581.0,16161527.11645338,3.051,2.802
666378439.0,98454079581.0,16161527.11645338,3.051,0.249
326872005.0,98454079581.0,16161527.11645338,2.292,0.063
991920937.0,98454079581.0,16161527.11645338,2.292,0.584
1216914397.0,98454079581.0,16161527.11645338,2.292,1.069
855712622.0,98454079581.0,16161527.11645338,2.292,0.576
814523002.0,98454079581.0,16161527.11645338,2.976,0.764
1145962972.0,98454079581.0,16161527.11645338,2.976,1.793
302019876.0,98454079581.0,16161527.11645338,2.976,0.222
261359935.0,98454079581.0,16161527.11645338,2.976,0.061
128130966.0,98454079581.0,16161527.11645338,2.976,0.136
4394835131.0,98454079581.0,16161527.11645338,2.824,2.824
1345832968.0,98454079581.0,16161527.11645338,0.697,0.445
532664283.0,98454079581.0,16161527.11645338,0.697,0.194
462534972.0,98454079581.0,16161527.11645338,0.697,0.058
850935197.0,98454079581.0,16161527.11645338,0.543,0.543
194261422.0,98454079581.0,16161527.11645338,0.181,0.181
136643320.0,98454079581.0,16161527.11645338,0.956,0.177
1051120777.0,98454079581.0,16161527.11645338,0.956,0.592
353448195.0,98454079581.0,16161527.11645338,0.956,0.129
293689428.0,98454079581.0,16161527.11645338,0.956,0.058
125446075.0,98454079581.0,16161527.11645338,0.105,0.105
533959816.0,98454079581.0,16161527.11645338,0.006,0.006
273755006.0,98454079581.0,16161527.11645338,0.372,0.287
377241484.0,98454079581.0,16161527.11645338,0.372,0.085
525591097.0,98454079581.0,16161527.11645338,0.046,0.046
1872454628.0,98454079581.0,16161527.11645338,1.749,0.147
965986531.0,98454079581.0,16161527.11645338,1.749,1.365
485166826.0,98454079581.0,16161527.11645338,1.749,0.09
277677050.0,98454079581.0,16161527.11645338,1.749,0.147
476976044.0,98454079581.0,16161527.11645338,0.941,0.427
211783588.0,98454079581.0,16161527.11645338,0.941,0.186
314150156.0,98454079581.0,16161527.11645338,0.941,0.328
5857796242.0,98454079581.0,16161527.11645338,2.601,2.601
1484426957.0,98454079581.0,16161527.11645338,18.045,0.787
5129958973.0,98454079581.0,16161527.11645338,18.045,2.955
2842613858.0,98454079581.0,16161527.11645338,18.045,3.969
1287247964.0,98454079581.0,16161527.11645338,18.045,2.067
4792902422.0,98454079581.0,16161527.11645338,18.045,7.809
356586730.0,98454079581.0,16161527.11645338,18.045,0.458
637332335.0,98454079581.0,16161527.11645338,2.198,1.24
517500000.0,98454079581.0,16161527.11645338,2.198,0.412
81838243.0,98454079581.0,16161527.11645338,2.198,0.193
182560698.0,98454079581.0,16161527.11645338,2.198,0.353
5392540963.0,98454079581.0,16161527.11645338,2.855,2.855
765785673.0,98454079581.0,16161527.11645338,2.511,0.755
630821784.0,98454079581.0,16161527.11645338,2.511,1.756
